postcode,SUBZONE_C,PLN_AREA_C
739498,,
758111,,
759962,,
519146,,
519138,,
508508,,
508517,,
118500,,
718916,,
637902,,
758133,,
758060,,
758735,,
449887,,
759907,,
630000,,
118364,,
758117,,
758059,,
759056,,
98631,,
118363,,
449885,,
609269,,
609278,,
98996,,
99000,,
759058,,
719920,,
718926,,
508772,,
709654,,
627822,,
627821,,
627823,,
98678,,
627819,,
759837,,
828871,,
718925,,
759908,,
637655,,
449880,,
98605,,
628227,,
98658,,
508988,,
98602,,
98504,,
98591,,
98587,,
98589,,
98593,,
628402,,
98423,,
758314,,
98596,,
98595,,
98598,,
98548,,
628400,,
98453,,
98543,,
98542,,
449891,,
98604,,
98586,,
98586,,
627716,,
759657,,
98411,,
519148,,
98584,,
98528,,
98529,,
757574,,
757573,,
757572,,
757568,,
757567,,
757565,,
628380,,
718879,,
449892,,
98293,,
98331,,
98305,,
99005,,
98387,,
519144,,
98221,,
98236,,
118326,,
118345,,
118327,,
98323,,
118328,,
609144,,
519121,,
98413,,
98654,,
627711,,
509432,,
797615,,
797590,,
98324,,
98204,,
797606,,
99008,,
98182,,
627712,,
627834,,
98136,,
98138,,
98135,,
499676,,
98182,,
449886,,
449883,,
98057,,
627600,,
627713,,
627630,,
98091,,
98093,,
98659,,
829492,,
99981,,
98409,,
498794,,
637076,,
439105,,
498753,,
498754,,
828694,,
518201,,
739438,,
638501,,
629350,,
627859,,
628226,,
629882,,
628138,,
628133,,
629123,,
628208,,
609273,,
609266,,
638726,,
638408,,
719922,,
719529,,
627853,,
569922,OTSZ02,OT
564700,OTSZ02,OT
560703,OTSZ02,OT
560702,OTSZ02,OT
560700,OTSZ02,OT
569841,OTSZ02,OT
560709,OTSZ02,OT
560730,OTSZ02,OT
569842,OTSZ02,OT
567752,OTSZ02,OT
569933,OTSZ02,OT
569925,OTSZ02,OT
567741,OTSZ02,OT
560649,OTSZ02,OT
561700,OTSZ02,OT
563700,OTSZ02,OT
560714,OTSZ02,OT
560716,OTSZ02,OT
560725,OTSZ02,OT
567742,OTSZ02,OT
567748,OTSZ02,OT
569663,OTSZ02,OT
567743,OTSZ02,OT
569814,OTSZ02,OT
560704,OTSZ02,OT
560705,OTSZ02,OT
560710,OTSZ02,OT
561710,OTSZ02,OT
560711,OTSZ02,OT
560712,OTSZ02,OT
561712,OTSZ02,OT
560713,OTSZ02,OT
560715,OTSZ02,OT
560718,OTSZ02,OT
560720,OTSZ02,OT
560721,OTSZ02,OT
560722,OTSZ02,OT
560724,OTSZ02,OT
560726,OTSZ02,OT
560727,OTSZ02,OT
560728,OTSZ02,OT
560729,OTSZ02,OT
567744,OTSZ02,OT
569844,OTSZ02,OT
560723,OTSZ02,OT
569664,OTSZ02,OT
567740,OTSZ02,OT
560726,OTSZ02,OT
567750,BMSZ02,BM
567753,BMSZ02,BM
560513,BMSZ02,BM
560509,BMSZ02,BM
560596,BMSZ02,BM
569228,BMSZ02,BM
560533,BMSZ02,BM
560574,BMSZ02,BM
560557,BMSZ02,BM
560528,BMSZ02,BM
560526,BMSZ02,BM
560556,BMSZ02,BM
560562,BMSZ02,BM
569869,BMSZ02,BM
569184,BMSZ02,BM
569206,BMSZ02,BM
560425,BMSZ02,BM
560501,BMSZ02,BM
560502,BMSZ02,BM
560503,BMSZ02,BM
560504,BMSZ02,BM
560506,BMSZ02,BM
