postalsector,3am,6am,9am,12pm,3pm,6pm,9pm,12am
0,0.894767387,0.00243122,2.556592528,4.730526712,4.708535935,3.588951281,6.199799228,4.398641654
1,-5.009003357,-0.951406971,-2.812968598,-0.569376039,1.015450011,0.23040123,7.587006305,-8.680992565
2,0.007968127,0,0.02001443,0.03590363,0.015936255,0.019920319,0.012046303,0.015936255
3,-6.504705587,-1.564466543,-1.771637858,-6.199642375,-4.461884744,-4.718292186,-2.069281927,-10.56865452
4,5.053314302,-0.580151834,-4.88223484,-7.440035135,-6.278429589,1.964237538,-4.943360417,-7.63831289
5,-9.773567149,-0.847507607,-3.060968724,-8.434937416,-11.41834238,-3.241098598,-5.015434326,-14.9318631
6,-2.093531386,-0.489851617,-5.012046303,-6.025269003,-5.183925714,0.942105593,1.118000439,2.209649591
7,0.528060984,-0.392728299,-4.130140854,-3.676961446,-0.73879286,-1.142940051,-5.797048028,-2.62452552
8,-0.709477052,0.464033629,-8.765959783,-5.674043982,-4.203532327,-0.048467547,-2.959484895,-4.899049471
9,-2.586661229,17.39820247,-12.57703046,-8.032578348,-8.08159488,-5.458496722,-1.875866612,-9.414326944
10,0.052765317,0.383128902,-3.96486495,-5.05188694,-5.496094363,-0.092684381,-1.084857421,-2.194372118
11,-2.665385701,-1.097076262,-14.04672648,-8.074112997,-4.873702042,3.258744549,-8.533833171,-6.286491828
12,-3.043354142,-1.572779747,-29.51253255,-13.51006996,-14.73295793,-7.679439721,-19.25905826,-19.13321517
13,-0.66962073,1.129560498,-8.450936412,-2.411472221,3.074975688,6.830300844,-0.051573235,-2.648084826
14,-1.676977131,0.784139034,-8.432302287,-7.885528751,-7.196426891,-6.14667315,-8.141591116,-5.531198042
15,-2.450136462,-1.174875302,-10.10195439,-15.4133074,-12.73923205,-9.5354017,-9.072497412,-18.68805095
16,-4.46676287,-4.459124133,-50.8071023,-23.53400571,-13.90461775,-5.31332936,-12.24558459,-14.02087712
17,-6.961586724,1.987200803,-6.101672052,-9.835226025,-10.72955422,-5.884320984,-9.956692913,-12.13580324
18,-10.91261725,-0.691956583,-5.249788249,-8.957273269,-8.730589453,-1.619333689,-10.3957085,-20.90889983
19,-5.202983342,2.338755215,-1.744047432,0.511418891,-3.191486024,-1.864588889,-2.481365875,-4.46892744
20,1.65666468,-1.475938765,-22.1904508,-7.496110048,-4.886485554,-5.130878063,-2.406045111,0.850550554
21,-3.400006274,-0.459892713,-4.049847853,6.322897387,5.254274242,3.223797722,-1.643959595,-10.5384917
22,0.230260062,0.801549707,-19.05988644,-32.4245067,-31.08771214,-17.95015215,-19.08220661,-11.01190514
23,-19.2425887,-2.958433981,-55.36275371,-32.36876118,-27.17313423,-21.27301816,-31.41095461,-53.04758917
24,-1.289440663,-3.423251874,-11.31408225,-9.407205822,-5.122517803,0.979656178,-4.559211971,-6.692834959
25,1.808608087,-1.397653481,-1.374423566,-15.6489632,-11.29413056,-4.86898077,-9.709461367,-8.146014368
26,-0.801283057,0.714574772,2.824277692,-2.705383192,-1.069234872,-0.301141889,-0.758838661,-0.622753082
27,-3.638077611,-1.34709979,-8.409166484,-9.051416382,-12.21099853,-7.128227248,-8.055525928,-13.03803683
28,-0.801141889,0.00186655,-1.758760235,-7.406907802,-6.075226652,-6.126345014,-5.493616087,-4.1823415
29,-3.848448725,0.210402485,-0.857703046,-6.797393105,-4.756783888,-3.086206356,-5.351397559,-6.726354425
30,-1.735389152,-2.770492832,-8.488690906,-10.8619067,-11.59621357,-1.809062961,-11.0987389,-9.473585971
31,-5.801832042,-1.676569313,-15.88813251,-15.94356433,-13.90071211,-13.80126737,-21.73840073,-16.72455062
32,-5.085516203,-5.02567682,-9.051290899,-15.99163974,-11.84838598,-8.832575211,-16.10708348,-13.69051354
33,-5.704238165,-0.648163253,-3.661323211,3.246274744,2.227264172,2.605389466,-0.971499827,-5.897669166
34,-0.664005396,-1.224080058,-4.071462183,-3.769677197,-3.139395175,-2.276970857,-5.158844935,-2.652272799
35,-1.080167519,-1.504580105,0.796483358,-1.328998965,-2.580151834,-1.574552185,-2.555023998,-2.419456034
36,-1.035793833,-0.279888321,-0.005082034,-0.194089783,0.304686765,0.288875992,-2.325140383,-1.912617248
37,-0.409291966,0.242494589,-3.798820466,-0.993757254,-1.253427236,-3.374470621,-2.592229507,-3.064780249
