id,postcode,SUBZONE_C,PLN_AREA_C,REGION_C
,739498,,,
,758111,,,
,759962,,,
,519146,,,
,519138,,,
,508508,,,
,508517,,,
,118500,,,
,718916,,,
,637902,,,
,758133,,,
,758060,,,
,758735,,,
,449887,,,
,759907,,,
,630000,,,
,118364,,,
,758117,,,
,758059,,,
,759056,,,
,98631,,,
,118363,,,
,449885,,,
,609269,,,
,609278,,,
,98996,,,
,99000,,,
,759058,,,
,719920,,,
,718926,,,
,508772,,,
,709654,,,
,627822,,,
,627821,,,
,627823,,,
,98678,,,
,627819,,,
,759837,,,
,828871,,,
,718925,,,
,759908,,,
,637655,,,
,449880,,,
,98605,,,
,628227,,,
,98658,,,
,508988,,,
,98602,,,
,98504,,,
,98591,,,
,98587,,,
,98589,,,
,98593,,,
,628402,,,
,98423,,,
,758314,,,
,98596,,,
,98595,,,
,98598,,,
,98548,,,
,628400,,,
,98453,,,
,98543,,,
,98542,,,
,449891,,,
,98604,,,
,98586,,,
,98586,,,
,627716,,,
,759657,,,
,98411,,,
,519148,,,
,98584,,,
,98528,,,
,98529,,,
,757574,,,
,757573,,,
,757572,,,
,757568,,,
,757567,,,
,757565,,,
,628380,,,
,718879,,,
,449892,,,
,98293,,,
,98331,,,
,98305,,,
,99005,,,
,98387,,,
,519144,,,
,98221,,,
,98236,,,
,118326,,,
,118345,,,
,118327,,,
,98323,,,
,118328,,,
,609144,,,
,519121,,,
,98413,,,
,98654,,,
,627711,,,
,509432,,,
,797615,,,
,797590,,,
,98324,,,
,98204,,,
,797606,,,
,99008,,,
,98182,,,
,627712,,,
,627834,,,
,98136,,,
,98138,,,
,98135,,,
,499676,,,
,98182,,,
,449886,,,
,449883,,,
,98057,,,
,627600,,,
,627713,,,
,627630,,,
,98091,,,
,98093,,,
,98659,,,
,829492,,,
,99981,,,
,98409,,,
,498794,,,
,637076,,,
,439105,,,
,498753,,,
,498754,,,
,828694,,,
,518201,,,
,739438,,,
,638501,,,
,629350,,,
,627859,,,
,628226,,,
,629882,,,
,628138,,,
,628133,,,
,629123,,,
,628208,,,
,609273,,,
,609266,,,
,638726,,,
,638408,,,
,719922,,,
,719529,,,
,627853,,,
1,169037,OTSZ02,OT,CR
1,59443,OTSZ02,OT,CR
1,168976,OTSZ02,OT,CR
1,168975,OTSZ02,OT,CR
1,88758,OTSZ02,OT,CR
1,88755,OTSZ02,OT,CR
1,88760,OTSZ02,OT,CR
1,59108,OTSZ02,OT,CR
1,88745,OTSZ02,OT,CR
1,59811,OTSZ02,OT,CR
1,88749,OTSZ02,OT,CR
1,88750,OTSZ02,OT,CR
1,88751,OTSZ02,OT,CR
1,88752,OTSZ02,OT,CR
1,88757,OTSZ02,OT,CR
1,59813,OTSZ02,OT,CR
1,168977,OTSZ02,OT,CR
1,88759,OTSZ02,OT,CR
1,59108,OTSZ02,OT,CR
1,168976,OTSZ02,OT,CR
1,88764,OTSZ02,OT,CR
2,159463,BMSZ02,BM,CR
2,150119,BMSZ02,BM,CR
2,169201,BMSZ02,BM,CR
2,150166,BMSZ02,BM,CR
2,150167,BMSZ02,BM,CR
2,150168,BMSZ02,BM,CR
2,159545,BMSZ02,BM,CR
2,169311,BMSZ02,BM,CR
2,152116,BMSZ02,BM,CR
2,91005,BMSZ02,BM,CR
2,159834,BMSZ02,BM,CR
2,159546,BMSZ02,BM,CR
